Date,Day,Usage
13/11/2020,FRI,1045819
12/11/2020,THU,1052893
11/11/2020,WED,1040081
10/11/2020,TUE,1052830
09/11/2020,MON,1034119
08/11/2020,SUN,396777
07/11/2020,SAT,580894
06/11/2020,FRI,1014913
05/11/2020,THU,1013978
04/11/2020,WED,1340986
03/11/2020,TUE,1292991
02/11/2020,MON,1223003
01/11/2020,SUN,643494
31/10/2020,SAT,832824
30/10/2020,FRI,1060199
29/10/2020,THU,968603
28/10/2020,WED,1020052
27/10/2020,TUE,969437
26/10/2020,MON,1002508
25/10/2020,SUN,626707
24/10/2020,SAT,836312
23/10/2020,FRI,1171264
22/10/2020,THU,1200142
21/10/2020,WED,1121017
20/10/2020,TUE,1187216
19/10/2020,MON,1169452
18/10/2020,SUN,615131
17/10/2020,SAT,848554
16/10/2020,FRI,1288127
15/10/2020,THU,1263667
14/10/2020,WED,1259609
13/10/2020,TUE,1233828
12/10/2020,MON,1213436
11/10/2020,SUN,654401
10/10/2020,SAT,894882
09/10/2020,FRI,1268896
08/10/2020,THU,1229208
07/10/2020,WED,1254842
06/10/2020,TUE,1234920
05/10/2020,MON,1217930
04/10/2020,SUN,569955
03/10/2020,SAT,834698
02/10/2020,FRI,1167323
01/10/2020,THU,1255693
30/09/2020,WED,1216642
29/09/2020,TUE,1217338
28/09/2020,MON,1195108
27/09/2020,SUN,608860
26/09/2020,SAT,866070
25/09/2020,FRI,1225563
24/09/2020,THU,1211799
23/09/2020,WED,1203876
22/09/2020,TUE,1233916
21/09/2020,MON,1201301
20/09/2020,SUN,649985
19/09/2020,SAT,884621
18/09/2020,FRI,1257544
17/09/2020,THU,1235600
16/09/2020,WED,1226590
15/09/2020,TUE,1220060
14/09/2020,MON,1198213
13/09/2020,SUN,656754
12/09/2020,SAT,877463
11/09/2020,FRI,1236726
10/09/2020,THU,1217429
09/09/2020,WED,1194337
08/09/2020,TUE,1180021
07/09/2020,MON,1133302
06/09/2020,SUN,634245
05/09/2020,SAT,861479
04/09/2020,FRI,1102155
03/09/2020,THU,1028785
02/09/2020,WED,1001689
01/09/2020,TUE,983643
31/08/2020,MON,722576
30/08/2020,SUN,612902
29/08/2020,SAT,790115
28/08/2020,FRI,946982
27/08/2020,THU,907542
26/08/2020,WED,979402
25/08/2020,TUE,896021
24/08/2020,MON,918513
23/08/2020,SUN,572583
22/08/2020,SAT,777126
21/08/2020,FRI,905519
20/08/2020,THU,939645
19/08/2020,WED,840994
18/08/2020,TUE,897496
17/08/2020,MON,861640
16/08/2020,SUN,537989
15/08/2020,SAT,717385
14/08/2020,FRI,857254
13/08/2020,THU,832812
12/08/2020,WED,833801
11/08/2020,TUE,835659
10/08/2020,MON,828533
09/08/2020,SUN,533479
08/08/2020,SAT,706675
07/08/2020,FRI,836997
06/08/2020,THU,842747
05/08/2020,WED,858892
04/08/2020,TUE,847395
03/08/2020,MON,823309
02/08/2020,SUN,532696
01/08/2020,SAT,709640
31/07/2020,FRI,825877
30/07/2020,THU,831741
29/07/2020,WED,831299
28/07/2020,TUE,818487
27/07/2020,MON,759071
26/07/2020,SUN,509321
25/07/2020,SAT,648504
24/07/2020,FRI,825410
23/07/2020,THU,797469
22/07/2020,WED,793750
21/07/2020,TUE,787691
20/07/2020,MON,778350
19/07/2020,SUN,465042
18/07/2020,SAT,676183
17/07/2020,FRI,819474
16/07/2020,THU,779529
15/07/2020,WED,766317
14/07/2020,TUE,760751
13/07/2020,MON,754361
12/07/2020,SUN,472557
11/07/2020,SAT,642882
10/07/2020,FRI,768542
09/07/2020,THU,715700
08/07/2020,WED,701011
07/07/2020,TUE,726366
06/07/2020,MON,709663
05/07/2020,SUN,435693
04/07/2020,SAT,573450
03/07/2020,FRI,697577
02/07/2020,THU,654812
01/07/2020,WED,658474
30/06/2020,TUE,661012
29/06/2020,MON,660041
28/06/2020,SUN,381925
27/06/2020,SAT,510088
26/06/2020,FRI,651678
25/06/2020,THU,636548
24/06/2020,WED,637420
23/06/2020,TUE,638547
22/06/2020,MON,629999
21/06/2020,SUN,343468
20/06/2020,SAT,506042
19/06/2020,FRI,593580
18/06/2020,THU,540400
17/06/2020,WED,550690
16/06/2020,TUE,557709
15/06/2020,MON,555781
14/06/2020,SUN,285685
13/06/2020,SAT,407785
12/06/2020,FRI,463121
11/06/2020,THU,440699
10/06/2020,WED,429033
09/06/2020,TUE,452361
